127.0.0.1 - - [04/Dec/2023:14:31:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /Signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:17 +0530] "GET /Signup/registration.jsp HTTP/1.1" 200 3213
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:17 +0530] "GET /Signup/images/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:17 +0530] "GET /Signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:57 +0530] "POST /Signup/register HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:57 +0530] "GET /Signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:31:57 +0530] "GET /Signup/fonts/poppins/poppins-v5-latin-600.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:32:03 +0530] "GET /Signup/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [04/Dec/2023:14:32:03 +0530] "GET /Signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
